,,Unique,Unique-values,use case from drugbank,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxethazaine,,,,,
Oxibendazol,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxiconazole Nitrate,,,,,
Oxolinic acid,,,,,
Oxolinic acid,,,,,
Oxolinic acid,,,,,
Oxolinic acid,,,,,
Oxybutynin chloride,,,,,
Oxybutynin chloride,,,,,
Oxybutynin chloride,,,,,
Oxybutynin chloride,,,,,
Oxybutynin chloride,,,,,
Oxybutynin chloride,,,,,
Oxybutynin chloride,,,,,
Oxybutynin chloride,,,,,
Oxybutynin chloride,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Oxytetracycline dihydrate,,,,,
Paclitaxel,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paliperidone,,,,,
Paracetamol,,,,,
Paracetamol,,,,,
Parbendazole,,,,,
Parbendazole,,,,,
Parbendazole,,,,,
Parbendazole,,,,,
Parbendazole,,,,,
Pefloxacine,,,,,
Pefloxacine,,,,,
Pefloxacine,,,,,
Pefloxacine,,,,,
Pefloxacine,,,,,
Pefloxacine,,,,,
Pefloxacine,,,,,
Pefloxacine,,,,,
Pefloxacine,,,,,
Pefloxacine,,,,,
Pefloxacine,,,,,
Pefloxacine,,,,,
Pefloxacine,,,,,
Pefloxacine,,,,,
Pefloxacine,,,,,
Pefloxacine,,,,,
Pefloxacine,,,,,
Pemirolast potassium,,,,,
Pemirolast potassium,,,,,
Penbutolol sulfate,,,,,
Penbutolol sulfate,,,,,
Penbutolol sulfate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentamidine isethionate,,,,,
Pentostatin,,,,,
Pentostatin,,,,,
Perhexiline maleate,,,,,
Perhexiline maleate,,,,,
Perhexiline maleate,,,,,
Perhexiline maleate,,,,,
Perhexiline maleate,,,,,
Perhexiline maleate,,,,,
Perhexiline maleate,,,,,
Perhexiline maleate,,,,,
Perhexiline maleate,,,,,
Perhexiline maleate,,,,,
Perhexiline maleate,,,,,
Perhexiline maleate,,,,,
Pericyazine,,,,,
Pericyazine,,,,,
Pericyazine,,,,,
Pericyazine,,,,,
Pericyazine,,,,,
Pericyazine,,,,,
Pericyazine,,,,,
Pericyazine,,,,,
Pericyazine,,,,,
Perphenazine,,,,,
Perphenazine,,,,,
Perphenazine,,,,,
Perphenazine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenazopyridine,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenethicillin potassium salt,,,,,
Phenformin,,,,,
Phenindione,,,,,
Phenoxyethanol,,,,,
Phenoxyethanol,,,,,
Phenytoin sodium,,,,,
Phenytoin sodium,,,,,
Phenytoin sodium,,,,,
Phenytoin sodium,,,,,
Phenytoin sodium,,,,,
Picosulfuric acid,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pidotimod,,,,,
Pimethixene maleate,,,,,
Pimethixene maleate,,,,,
Pimethixene maleate,,,,,
Pimethixene maleate,,,,,
Pimethixene maleate,,,,,
Pimethixene maleate,,,,,
Pimozide,,,,,
Pimozide,,,,,
Pimozide,,,,,
Pimozide,,,,,
Pimozide,,,,,
Pimozide,,,,,
Pimozide,,,,,
Pimozide,,,,,
Pimozide,,,,,
Pimozide,,,,,
Pinaverium bromide,,,,,
Pinaverium bromide,,,,,
Pinaverium bromide,,,,,
Pinaverium bromide,,,,,
Pinaverium bromide,,,,,
Pinaverium bromide,,,,,
Pinaverium bromide,,,,,
Pinaverium bromide,,,,,
Pinaverium bromide,,,,,
Pinaverium bromide,,,,,
Pioglitazone,,,,,
Pioglitazone,,,,,
Pipemidic acid,,,,,
Pipemidic acid,,,,,
Pipemidic acid,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Piperacillin sodium salt,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivampicillin,,,,,
Pivmecillinam hydrochloride,,,,,
Pivmecillinam hydrochloride,,,,,
Pizotifen malate,,,,,
PPIs,,,,,
Pranlukast,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Pranoprofen,,,,,
Prenylamine lactate,,,,,
Prenylamine lactate,,,,,
Prenylamine lactate,,,,,
Prenylamine lactate,,,,,
Prenylamine lactate,,,,,
Pridinol methanesulfonate salt,,,,,
Pridinol methanesulfonate salt,,,,,
Prilocaine hydrochloride,,,,,
Primaquine phosphate,,,,,
Primaquine phosphate,,,,,
Primaquine phosphate,,,,,
Primaquine phosphate,,,,,
Primaquine phosphate,,,,,
Primaquine phosphate,,,,,
Primaquine phosphate,,,,,
Primaquine phosphate,,,,,
Primaquine phosphate,,,,,
Procarbazine,,,,,
Procarbazine,,,,,
Procarbazine,,,,,
Procarbazine,,,,,
Procarbazine,,,,,
Procarbazine,,,,,
Procarbazine,,,,,
Procarbazine,,,,,
Procarbazine,,,,,
Procarbazine,,,,,
Procarbazine,,,,,
Procarbazine,,,,,
Procarbazine,,,,,
Procarbazine,,,,,
Procarbazine,,,,,
Prochlorperazine dimaleate,,,,,
Prochlorperazine dimaleate,,,,,
Prochlorperazine dimaleate,,,,,
Prochlorperazine dimaleate,,,,,
Prochlorperazine dimaleate,,,,,
Prochlorperazine dimaleate,,,,,
Promazine hydrochloride,,,,,
Promazine hydrochloride,,,,,
Promazine hydrochloride,,,,,
Promazine hydrochloride,,,,,
Promazine hydrochloride,,,,,
Promazine hydrochloride,,,,,
Promazine hydrochloride,,,,,
Promazine hydrochloride,,,,,
Promazine hydrochloride,,,,,
Promazine hydrochloride,,,,,
Promazine hydrochloride,,,,,
Promethazine hydrochloride,,,,,
Promethazine hydrochloride,,,,,
Promethazine hydrochloride,,,,,
Promethazine hydrochloride,,,,,
Promethazine hydrochloride,,,,,
Promethazine hydrochloride,,,,,
Proton pump inhibitors,,,,,
Proton pump inhibitors,,,,,
Proton pump inhibitors,,,,,
Proton pump inhibitors,,,,,
Proton pump inhibitors,,,,,
Proton pump inhibitors,,,,,
Proton pump inhibitors,,,,,
Proton pump inhibitors,,,,,
Proton pump inhibitors,,,,,
Proton pump inhibitors,,,,,
Proton pump inhibitors,,,,,
Proton pump inhibitors,,,,,
Proton pump inhibitors,,,,,
Protriptyline hydrochloride,,,,,
Protriptyline hydrochloride,,,,,
Protriptyline hydrochloride,,,,,
Protriptyline hydrochloride,,,,,
Protriptyline hydrochloride,,,,,
Protriptyline hydrochloride,,,,,
Protriptyline hydrochloride,,,,,
Protriptyline hydrochloride,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrimethamine,,,,,
Pyrvinium pamoate,,,,,
Pyrvinium pamoate,,,,,
Pyrvinium pamoate,,,,,
Pyrvinium pamoate,,,,,
Pyrvinium pamoate,,,,,
Pyrvinium pamoate,,,,,
Pyrvinium pamoate,,,,,
Pyrvinium pamoate,,,,,
Pyrvinium pamoate,,,,,
Pyrvinium pamoate,,,,,
Pyrvinium pamoate,,,,,
Pyrvinium pamoate,,,,,
Pyrvinium pamoate,,,,,
Pyrvinium pamoate,,,,,
Pyrvinium pamoate,,,,,
Quetiapine hemifumarate,,,,,
Quinacrine dihydrochloride dihydrate,,,,,
Quinacrine dihydrochloride dihydrate,,,,,
Quinacrine dihydrochloride dihydrate,,,,,
Quinacrine dihydrochloride dihydrate,,,,,
Quinacrine dihydrochloride dihydrate,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinapril,,,,,
Quinupristin/dalfopristin,,,,,
R(-) Apomorphine hydrochloride hemihydrate,,,,,
Rabeprazole Sodium salt,,,,,
Rabeprazole Sodium salt,,,,,
Rabeprazole Sodium salt,,,,,
Rabeprazole Sodium salt,,,,,
Rabeprazole Sodium salt,,,,,
Rabeprazole Sodium salt,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racecadotril,,,,,
Racepinephrine HCl,,,,,
Racepinephrine HCl,,,,,
Raloxifene hydrochloride,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramelteon,,,,,
Ramipril,,,,,
Ramipril,,,,,
Ramipril,,,,,
Ramipril,,,,,
Ramipril,,,,,
Ramipril,,,,,
Ramipril,,,,,
Rebamipide,,,,,
Rebamipide,,,,,
Rebamipide,,,,,
Rebamipide,,,,,
Rebamipide,,,,,
Rebamipide,,,,,
Rebamipide,,,,,
Rebamipide,,,,,
Rebamipide,,,,,
Rebamipide,,,,,
Rebamipide,,,,,
Repaglinide,,,,,
Repaglinide,,,,,
Repaglinide,,,,,
Repaglinide,,,,,
Repaglinide,,,,,
Repaglinide,,,,,
Repaglinide,,,,,
Repaglinide,,,,,
Repaglinide,,,,,
Repaglinide,,,,,
Resveratrol,,,,,
Resveratrol,,,,,
Resveratrol,,,,,
Resveratrol,,,,,
Ribavirin,,,,,
Ribavirin,,,,,
Ribavirin,,,,,
Ribostamycin sulfate salt,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifapentine,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Rifaximin,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole,,,,,
Riluzole hydrochloride,,,,,
Riluzole hydrochloride,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Risperidone,,,,,
Ritipenem acoxil,,,,,
Ritonavir,,,,,
Ritonavir,,,,,
Ritonavir,,,,,
Ritonavir,,,,,
Ritonavir,,,,,
Ritonavir,,,,,
Ritonavir,,,,,
Ritonavir,,,,,
Ritonavir,,,,,
Ritonavir,,,,,
Ritonavir,,,,,
Ritonavir,,,,,
Ritonavir,,,,,
Ritonavir,,,,,
Rizatriptan benzoate,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Ronidazole,,,,,
Rosuvastatin,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxatidine acetate,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Roxithromycin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Rufloxacin,,,,,
Salmeterol,,,,,
Saquinavir mesylate,,,,,
Saquinavir mesylate,,,,,
Saquinavir mesylate,,,,,
Saquinavir mesylate,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
Sarafloxacin,,,,,
